City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
303,grindavik,100,ID,1588875883,83,-0.95,100.35,299.22,5.69
304,ayagoz,40,GT,1588876073,52,14.3,-91.92,307.15,3.1
305,yulara,93,CN,1588875906,59,44.77,129.7,283.49,2.31
306,pimentel,97,RU,1588876075,60,43.74,135.29,282.16,1.91
307,slave lake,1,AU,1588876075,83,-12.23,136.77,297.15,2.6
308,bargal,75,NO,1588876076,69,69.47,25.51,277.15,19.5
309,warangal,38,BR,1588876076,60,-17.71,-39.25,303.07,3.05
310,saint-joseph,75,MX,1588876076,40,21.28,-89.67,305.37,4.1
311,maracanau,21,IT,1588876077,67,37.92,15.77,290.37,1.95
312,mehamn,0,IR,1588876077,21,31.28,49.6,301.15,4.1
313,saint anthony,88,GL,1588876077,72,65.42,-52.9,276.87,2.43
314,belushya guba,20,PH,1588876078,74,14.31,121.11,303.71,3.1
315,nerchinsk,78,RU,1588876078,73,42.43,130.64,282.18,1.34
316,alamosa,100,ID,1588876079,80,1.74,98.78,298.44,1.69
317,luwuk,95,VE,1588876079,45,9.66,-68.58,307.14,2.34
318,harper,90,RW,1588876079,98,-2.48,29.56,287.99,1.07
319,svetlyy,100,RU,1588876080,84,62,132.43,277.84,6.61
320,union,75,AU,1588876080,76,-33.87,121.9,286.15,6.7
321,lerik,15,MU,1588876081,91,-20.01,57.66,297.04,1.34
322,saint-georges,40,CV,1588876081,57,17.15,-25.02,299.15,13.9
323,zermatt,0,MX,1588876081,33,27.98,-114.06,300,3.87
324,kavaratti,100,PE,1588876082,73,-13.7,-76.22,295.37,3.6
325,zanjan,75,US,1588876082,36,37.34,-85.34,291.15,4.6
326,satitoa,87,GA,1588876083,87,-2.65,10,299.82,2.42
327,ketchikan,40,ID,1588876083,100,3.1,98.49,298.15,1.5
328,saint george,40,GL,1588876083,57,60.92,-46.05,283.15,4.1
329,kaohsiung,9,ID,1588875858,87,0.54,123.06,297.77,1.03
330,meulaboh,1,US,1588876084,16,41,-115.5,287.15,2.6
331,svetlogorsk,99,LK,1588876085,84,5.95,80.54,300.16,2.65
